,Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year"
9,Afghanistan,2017,2.66171813,7.497754574,0.490880072,52.79999924,0.427010864,-0.112198286,0.954392552,0.49634856,0.371326178,0.261178523,1.454050779,0.546282768,0.383767564,0.286598861
10,Afghanistan,2018,2.694303274,7.494587898,0.507515848,52.59999847,0.373535544,-0.084887877,0.927605689,0.424125314,0.404904395,0.364666402,1.408343792,0.522711694,0.383767564,0.290681332
20,Albania,2017,4.639548302,9.376145363,0.637698293,68.40000153,0.74961102,-0.032642815,0.876134634,0.669240892,0.33388412,0.457737535,2.682104826,0.578096092,0.30325,0.41048798
21,Albania,2018,5.004402637,9.412399292,0.683591664,68.69999695,0.824212313,0.005384951,0.899129391,0.713299572,0.318996727,0.435337961,2.640530825,0.527641535,0.30325,0.456174195
27,Algeria,2017,5.248912334,9.540638924,0.806753874,65.69999695,0.436670482,-0.191522107,0.699774206,0.641979635,0.288710028,0.497776336,2.039764643,0.388607115,0.276,0.527555764
28,Algeria,2018,5.043086052,9.557951927,0.798651338,65.90000153,0.58338058,-0.172413006,0.758704126,0.591042936,0.292945564,0.497776336,1.973942876,0.391415656,0.276,0.667871892
44,Argentina,2017,6.039330006,9.848709106,0.906699121,68.59999847,0.831966162,-0.182599917,0.841052473,0.809422612,0.291717261,0.305430293,2.409328938,0.398939759,0.4609375,0.394175798
45,Argentina,2018,5.792796612,9.809971809,0.899911582,68.80000305,0.845894694,-0.206936628,0.855255246,0.820309699,0.320502073,0.261352271,2.472558737,0.426833332,0.4609375,0.40535593
57,Armenia,2017,4.287736416,9.081094742,0.697924912,66.59999847,0.613697052,-0.133957878,0.86468333,0.625013828,0.43714875,0.246900991,2.325378895,0.54233253,0.31925,0.478876591
58,Armenia,2018,5.062448502,9.119423866,0.814449012,66.90000153,0.807643652,-0.149108693,0.676826358,0.581487715,0.454840273,0.670827627,2.102110624,0.415235966,0.31925,0.406403482
69,Australia,2017,7.25703764,10.70658112,0.949957848,73.30000305,0.910550177,0.308772951,0.411346525,0.780078888,0.225360975,0.45340696,1.745698929,0.240552559,0.34275,0.428340912
70,Australia,2018,7.17699337,10.7210207,0.940137267,73.59999847,0.916028142,0.137795404,0.404647499,0.759018838,0.187456369,0.468836874,1.750282526,0.243874058,0.34275,0.429814219
80,Austria,2017,7.293727875,10.72407532,0.906217813,72.69999695,0.890030563,0.131114438,0.518303812,0.747568727,0.18026872,0.43590793,1.561061978,0.214028001,0.302692308,0.322941631
81,Austria,2018,7.396001816,10.74189281,0.911668122,73,0.904111981,0.051552333,0.52306056,0.75235039,0.226058796,0.488678724,1.551940084,0.209835008,0.302692308,0.299504399
93,Azerbaijan,2017,5.152279377,9.670762062,0.787039399,65.19999695,0.731030464,-0.245215878,0.652539015,0.592359245,0.19831866,0.766583443,1.673756838,0.324857533,0.211,0.313743263
94,Azerbaijan,2018,5.167995453,9.678013802,0.781229913,65.5,0.772449255,-0.251795292,0.561206281,0.592575371,0.191391662,0.834371924,1.863302112,0.36054638,0.211,0.260409832
115,Bangladesh,2017,4.309771061,8.167346954,0.712552786,63.79999924,0.896217167,0.016269062,0.635014474,0.568827093,0.21350576,0.876646459,1.865365982,0.432822526,0.32775,0.53275013
116,Bangladesh,2018,4.499217033,8.22074604,0.705556035,64.30000305,0.90147084,-0.038008336,0.701421201,0.541344702,0.361237794,0.831693113,2.159303188,0.479928643,0.32775,0.367609113
128,Belarus,2017,5.552915096,9.750800133,0.900255799,65.80000305,0.620979249,-0.129172564,0.654113412,0.540905774,0.232768074,0.447916299,1.662563682,0.299403757,0.281294118,0.283250213
129,Belarus,2018,5.233769894,9.778738976,0.904569268,66.09999847,0.643602371,-0.181864843,0.718455493,0.45033285,0.235728621,0.421278685,1.690107107,0.322923452,0.281294118,0.293443888
140,Belgium,2017,6.928347588,10.66098404,0.921639085,71.80000305,0.856801987,0.051760148,0.543046057,0.786367595,0.233597696,0.449731916,1.510013223,0.217947096,0.284307692,0.354373842
141,Belgium,2018,6.89217186,10.6724453,0.929815531,72,0.808386624,-0.127278343,0.630411804,0.74956274,0.250297338,0.44194454,1.548090696,0.224615797,0.284307692,0.299524575
152,Benin,2017,4.853180885,7.63251543,0.435878992,53.90000153,0.72680825,-0.042811081,0.767234623,0.614722311,0.457920343,0.615089297,2.998126507,0.617765248,0.432666667,0.5770697
153,Benin,2018,5.81982708,7.663907051,0.503544033,54.29999924,0.713264048,0.024661165,0.746510744,0.646655142,0.467871815,0.639219761,3.313297987,0.569312096,0.432666667,0.606243253
168,Bolivia,2017,5.65055275,8.837221146,0.778661788,63.29999924,0.883904934,-0.115274936,0.819261968,0.698195398,0.43394354,0.427632958,2.250484228,0.398276836,0.5216,0.40588659
169,Bolivia,2018,5.915734291,8.860530853,0.827159464,63.59999847,0.863246858,-0.08756835,0.786044598,0.741972625,0.387468874,0.399588227,2.204541922,0.372657359,0.5216,0.450113028
179,Bosnia and Herzegovina,2017,5.089902401,9.368531227,0.775295258,67.5,0.563798666,0.092498638,0.923343062,0.597341657,0.270745516,0.126379713,2.281006575,0.448143482,0.3256,0.486203879
180,Bosnia and Herzegovina,2018,5.887401104,9.402726173,0.835889578,67.80000305,0.658846438,0.124626905,0.912857771,0.642939508,0.277365059,0.254097164,1.987750292,0.337627798,0.3256,0.385817498
190,Botswana,2017,3.504881144,9.668231964,0.768258631,58.20000076,0.817308009,-0.253493279,0.731441498,0.656396449,0.276252508,0.770821095,2.669425488,0.761630833,0.626,0.637864351
